Combo,Ext1,Ext2,Ext3,Ext4,total,min,max,JointCap1,JointCap2,JointCap3,JointCap4,ExtCapPositive1,ExtCapNegative1,ExtCapPositive2,ExtCapNegative2,ExtCapPositive3,ExtCapNegative3,ExtCapPositive4,ExtCapNegative4
893792,1.0,,,,1.0,13.09,16.05,493000,,,,654000,-580000,,,,,,
893793,1.5,,,,1.5,15.06,17.69,493000,,,,654000,-580000,,,,,,
892807,1.0,1.0,,,2.0,16.7,19.33,493000,493000.0,,,654000,-580000,654000.0,-580000.0,,,,
892800,1.0,1.5,,,2.5,18.34,20.97,493000,493000.0,,,654000,-580000,654000.0,-580000.0,,,,
892831,1.5,1.0,,,2.5,18.34,20.97,493000,493000.0,,,654000,-580000,654000.0,-580000.0,,,,
893794,3.0,,,,3.0,19.98,22.61,493000,,,,654000,-580000,,,,,,
863264,1.0,1.0,1.0,,3.0,19.98,22.61,493000,493000.0,493000.0,,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,,
892839,1.5,1.5,,,3.0,19.98,22.61,493000,493000.0,,,654000,-580000,654000.0,-580000.0,,,,
863046,1.0,1.5,1.0,,3.5,21.62,24.25,493000,493000.0,493000.0,,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,,
863976,1.5,1.0,1.0,,3.5,21.62,24.25,493000,493000.0,493000.0,,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,,
863250,1.0,1.0,1.5,,3.5,21.62,24.25,493000,493000.0,493000.0,,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,,
892862,3.0,1.0,,,4.0,23.26,25.89,493000,493000.0,,,654000,-580000,654000.0,-580000.0,,,,
863047,1.0,1.5,1.5,,4.0,23.26,25.89,493000,493000.0,493000.0,,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,,
6517,1.0,1.0,1.0,1.0,4.0,23.26,25.89,493000,493000.0,493000.0,493000.0,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,654000.0,-580000.0
892801,1.0,3.0,,,4.0,23.26,25.89,493000,493000.0,,,654000,-580000,654000.0,-580000.0,,,,
863977,1.5,1.0,1.5,,4.0,23.26,25.89,493000,493000.0,493000.0,,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,,
864210,1.5,1.5,1.0,,4.0,23.26,25.89,493000,493000.0,493000.0,,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,,
6103,1.0,1.0,1.5,1.0,4.5,24.9,27.53,493000,493000.0,493000.0,493000.0,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,654000.0,-580000.0
892832,1.5,3.0,,,4.5,24.9,27.53,493000,493000.0,,,654000,-580000,654000.0,-580000.0,,,,
892863,3.0,1.5,,,4.5,24.9,27.53,493000,493000.0,,,654000,-580000,654000.0,-580000.0,,,,
187,1.0,1.5,1.0,1.0,4.5,24.9,27.53,493000,493000.0,493000.0,493000.0,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,654000.0,-580000.0
6496,1.0,1.0,1.0,1.5,4.5,24.9,27.53,493000,493000.0,493000.0,493000.0,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,654000.0,-580000.0
864225,1.5,1.5,1.5,,4.5,24.9,27.53,493000,493000.0,493000.0,,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,,
27157,1.5,1.0,1.0,1.0,4.5,24.9,27.53,493000,493000.0,493000.0,493000.0,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,654000.0,-580000.0
27150,1.5,1.0,1.0,1.5,5.0,26.54,29.17,493000,493000.0,493000.0,493000.0,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,654000.0,-580000.0
863076,1.0,3.0,1.0,,5.0,26.54,29.17,493000,493000.0,493000.0,,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,,
209,1.0,1.5,1.5,1.0,5.0,26.54,29.17,493000,493000.0,493000.0,493000.0,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,654000.0,-580000.0
893795,5.0,,,,5.0,26.54,29.17,493000,,,,654000,-580000,,,,,,
6096,1.0,1.0,1.5,1.5,5.0,26.54,29.17,493000,493000.0,493000.0,493000.0,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,654000.0,-580000.0
864906,3.0,1.0,1.0,,5.0,26.54,29.17,493000,493000.0,493000.0,,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,,
863251,1.0,1.0,3.0,,5.0,26.54,29.17,493000,493000.0,493000.0,,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,,
33936,1.5,1.5,1.0,1.0,5.0,26.54,29.17,493000,493000.0,493000.0,493000.0,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,654000.0,-580000.0
180,1.0,1.5,1.0,1.5,5.0,26.54,29.17,493000,493000.0,493000.0,493000.0,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,654000.0,-580000.0
27179,1.5,1.0,1.5,1.0,5.0,26.54,29.17,493000,493000.0,493000.0,493000.0,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,654000.0,-580000.0
217,1.0,1.5,1.5,1.5,5.5,28.18,30.81,493000,493000.0,493000.0,493000.0,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,654000.0,-580000.0
864000,1.5,3.0,1.0,,5.5,28.18,30.81,493000,493000.0,493000.0,,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,,
864900,3.0,1.0,1.5,,5.5,28.18,30.81,493000,493000.0,493000.0,,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,,
863970,1.5,1.0,3.0,,5.5,28.18,30.81,493000,493000.0,493000.0,,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,,
27187,1.5,1.0,1.5,1.5,5.5,28.18,30.81,493000,493000.0,493000.0,493000.0,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,654000.0,-580000.0
863040,1.0,1.5,3.0,,5.5,28.18,30.81,493000,493000.0,493000.0,,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,,
864930,3.0,1.5,1.0,,5.5,28.18,30.81,493000,493000.0,493000.0,,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,,
33944,1.5,1.5,1.0,1.5,5.5,28.18,30.81,493000,493000.0,493000.0,493000.0,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,654000.0,-580000.0
863070,1.0,3.0,1.5,,5.5,28.18,30.81,493000,493000.0,493000.0,,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,,
34365,1.5,1.5,1.5,1.0,5.5,28.18,30.81,493000,493000.0,493000.0,493000.0,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,654000.0,-580000.0
864211,1.5,1.5,3.0,,6.0,29.82,32.45,493000,493000.0,493000.0,,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,,
864007,1.5,3.0,1.5,,6.0,29.82,32.45,493000,493000.0,493000.0,,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,,
1057,1.0,3.0,1.0,1.0,6.0,29.82,32.45,493000,493000.0,493000.0,493000.0,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,654000.0,-580000.0
892802,1.0,5.0,,,6.0,29.82,32.45,493000,493000.0,,,654000,-580000,654000.0,-580000.0,,,,
6497,1.0,1.0,1.0,3.0,6.0,29.82,32.45,493000,493000.0,493000.0,493000.0,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,654000.0,-580000.0
892871,3.0,3.0,,,6.0,29.82,32.45,493000,493000.0,,,654000,-580000,654000.0,-580000.0,,,,
34387,1.5,1.5,1.5,1.5,6.0,29.82,32.45,493000,493000.0,493000.0,493000.0,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,654000.0,-580000.0
892893,5.0,1.0,,,6.0,29.82,32.45,493000,493000.0,,,654000,-580000,654000.0,-580000.0,,,,
54127,3.0,1.0,1.0,1.0,6.0,29.82,32.45,493000,493000.0,493000.0,493000.0,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,654000.0,-580000.0
6132,1.0,1.0,3.0,1.0,6.0,29.82,32.45,493000,493000.0,493000.0,493000.0,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,654000.0,-580000.0
864937,3.0,1.5,1.5,,6.0,29.82,32.45,493000,493000.0,493000.0,,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,,
53945,3.0,1.0,1.5,1.0,6.5,31.46,34.09,493000,493000.0,493000.0,493000.0,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,654000.0,-580000.0
54815,3.0,1.5,1.0,1.0,6.5,31.46,34.09,493000,493000.0,493000.0,493000.0,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,654000.0,-580000.0
1044,1.0,3.0,1.0,1.5,6.5,31.46,34.09,493000,493000.0,493000.0,493000.0,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,654000.0,-580000.0
27845,1.5,3.0,1.0,1.0,6.5,31.46,34.09,493000,493000.0,493000.0,493000.0,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,654000.0,-580000.0
27144,1.5,1.0,1.0,3.0,6.5,31.46,34.09,493000,493000.0,493000.0,493000.0,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,654000.0,-580000.0
26975,1.5,1.0,3.0,1.0,6.5,31.46,34.09,493000,493000.0,493000.0,493000.0,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,654000.0,-580000.0
875,1.0,3.0,1.5,1.0,6.5,31.46,34.09,493000,493000.0,493000.0,493000.0,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,654000.0,-580000.0
6119,1.0,1.0,3.0,1.5,6.5,31.46,34.09,493000,493000.0,493000.0,493000.0,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,654000.0,-580000.0
54114,3.0,1.0,1.0,1.5,6.5,31.46,34.09,493000,493000.0,493000.0,493000.0,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,654000.0,-580000.0
6090,1.0,1.0,1.5,3.0,6.5,31.46,34.09,493000,493000.0,493000.0,493000.0,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,654000.0,-580000.0
892894,5.0,1.5,,,6.5,31.46,34.09,493000,493000.0,,,654000,-580000,654000.0,-580000.0,,,,
892833,1.5,5.0,,,6.5,31.46,34.09,493000,493000.0,,,654000,-580000,654000.0,-580000.0,,,,
5,1.0,1.5,3.0,1.0,6.5,31.46,34.09,493000,493000.0,493000.0,493000.0,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,654000.0,-580000.0
174,1.0,1.5,1.0,3.0,6.5,31.46,34.09,493000,493000.0,493000.0,493000.0,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,654000.0,-580000.0
33959,1.5,1.5,3.0,1.0,7.0,33.1,35.73,493000,493000.0,493000.0,493000.0,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,654000.0,-580000.0
865836,5.0,1.0,1.0,,7.0,33.1,35.73,493000,493000.0,493000.0,,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,,
6,1.0,1.5,3.0,1.5,7.0,33.1,35.73,493000,493000.0,493000.0,493000.0,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,654000.0,-580000.0
863252,1.0,1.0,5.0,,7.0,33.1,35.73,493000,493000.0,493000.0,,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,,
55013,3.0,1.5,1.5,1.0,7.0,33.1,35.73,493000,493000.0,493000.0,493000.0,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,654000.0,-580000.0
33930,1.5,1.5,1.0,3.0,7.0,33.1,35.73,493000,493000.0,493000.0,493000.0,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,654000.0,-580000.0
27173,1.5,1.0,1.5,3.0,7.0,33.1,35.73,493000,493000.0,493000.0,493000.0,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,654000.0,-580000.0
26976,1.5,1.0,3.0,1.5,7.0,33.1,35.73,493000,493000.0,493000.0,493000.0,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,654000.0,-580000.0
863106,1.0,5.0,1.0,,7.0,33.1,35.73,493000,493000.0,493000.0,,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,,
203,1.0,1.5,1.5,3.0,7.0,33.1,35.73,493000,493000.0,493000.0,493000.0,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,654000.0,-580000.0
27846,1.5,3.0,1.0,1.5,7.0,33.1,35.73,493000,493000.0,493000.0,493000.0,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,654000.0,-580000.0
893796,7.0,,,,7.0,33.1,35.73,493000,,,,654000,-580000,,,,,,
863078,1.0,3.0,3.0,,7.0,33.1,35.73,493000,493000.0,493000.0,,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,,
865170,3.0,3.0,1.0,,7.0,33.1,35.73,493000,493000.0,493000.0,,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,,
876,1.0,3.0,1.5,1.5,7.0,33.1,35.73,493000,493000.0,493000.0,493000.0,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,654000.0,-580000.0
28043,1.5,3.0,1.5,1.0,7.0,33.1,35.73,493000,493000.0,493000.0,493000.0,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,654000.0,-580000.0
864908,3.0,1.0,3.0,,7.0,33.1,35.73,493000,493000.0,493000.0,,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,,
53946,3.0,1.0,1.5,1.5,7.0,33.1,35.73,493000,493000.0,493000.0,493000.0,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,654000.0,-580000.0
54816,3.0,1.5,1.0,1.5,7.0,33.1,35.73,493000,493000.0,493000.0,493000.0,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,654000.0,-580000.0
863100,1.0,5.0,1.5,,7.5,34.74,37.37,493000,493000.0,493000.0,,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,,
864938,3.0,1.5,3.0,,7.5,34.74,37.37,493000,493000.0,493000.0,,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,,
865860,5.0,1.5,1.0,,7.5,34.74,37.37,493000,493000.0,493000.0,,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,,
55027,3.0,1.5,1.5,1.5,7.5,34.74,37.37,493000,493000.0,493000.0,493000.0,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,654000.0,-580000.0
28057,1.5,3.0,1.5,1.5,7.5,34.74,37.37,493000,493000.0,493000.0,493000.0,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,654000.0,-580000.0
34366,1.5,1.5,1.5,3.0,7.5,34.74,37.37,493000,493000.0,493000.0,493000.0,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,654000.0,-580000.0
863041,1.0,1.5,5.0,,7.5,34.74,37.37,493000,493000.0,493000.0,,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,,
33973,1.5,1.5,3.0,1.5,7.5,34.74,37.37,493000,493000.0,493000.0,493000.0,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,654000.0,-580000.0
864008,1.5,3.0,3.0,,7.5,34.74,37.37,493000,493000.0,493000.0,,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,,
864030,1.5,5.0,1.0,,7.5,34.74,37.37,493000,493000.0,493000.0,,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,,
865171,3.0,3.0,1.5,,7.5,34.74,37.37,493000,493000.0,493000.0,,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,,
863971,1.5,1.0,5.0,,7.5,34.74,37.37,493000,493000.0,493000.0,,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,,
865830,5.0,1.0,1.5,,7.5,34.74,37.37,493000,493000.0,493000.0,,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,,
892895,5.0,3.0,,,8.0,36.38,39.02,493000,493000.0,,,654000,-580000,654000.0,-580000.0,,,,
61776,3.0,3.0,1.0,1.0,8.0,36.38,39.02,493000,493000.0,493000.0,493000.0,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,654000.0,-580000.0
1051,1.0,3.0,1.0,3.0,8.0,36.38,39.02,493000,493000.0,493000.0,493000.0,654000,-580000,654000.0,-580000.0,654000.0,-580000.0,654000.0,-580000.0
892803,1.0,7.0,,,8.0,36.38,39.02,493000,493000.0,,,654000,-580000,654000.0,-580000.0,,,,
892924,7.0,1.0,,,8.0,36.38,39.02,493000,493000.0,,,654000,-580000,654000.0,-580000.0,,,,
