,Point,Moment
0,0.0,0.0
1,0.01,442.35
2,0.02,884.41
3,0.03,1326.17
4,0.04,1767.64
5,0.05,2208.81
6,0.06,2649.69
7,0.07,3090.27
8,0.08,3530.56
9,0.09,3970.55
10,0.1,4410.25
11,0.11,4849.65
12,0.12,5288.76
13,0.13,5727.57
14,0.14,6166.09
15,0.15,6604.31
16,0.16,7042.24
17,0.17,7479.87
18,0.18,7917.21
19,0.19,8354.25
20,0.2,8791.0
21,0.21,9227.45
22,0.22,9663.61
23,0.23,10099.47
24,0.24,10535.04
25,0.25,10970.31
26,0.26,11405.29
27,0.27,11839.97
28,0.28,12274.36
29,0.29,12708.45
30,0.3,13142.25
31,0.31,13575.75
32,0.32,14008.96
33,0.33,14441.87
34,0.34,14874.49
35,0.35,15306.81
36,0.36,15738.84
37,0.37,16170.57
38,0.38,16602.01
39,0.39,17033.15
40,0.4,17464.0
41,0.41,17894.55
42,0.42,18324.81
43,0.43,18754.77
44,0.44,19184.44
45,0.45,19613.81
46,0.46,20042.89
47,0.47,20471.67
48,0.48,20900.16
49,0.49,21328.35
50,0.5,21756.25
51,0.51,22183.85
52,0.52,22611.16
53,0.53,23038.17
54,0.54,23464.89
55,0.55,23891.31
56,0.56,24317.44
57,0.57,24743.27
58,0.58,25168.81
59,0.59,25594.05
60,0.6,26019.0
61,0.61,26443.65
62,0.62,26868.01
63,0.63,27292.07
64,0.64,27715.84
65,0.65,28139.31
66,0.66,28562.49
67,0.67,28985.37
68,0.68,29407.96
69,0.69,29830.25
70,0.7,30252.25
71,0.71,30673.95
72,0.72,31095.36
73,0.73,31516.47
74,0.74,31937.29
75,0.75,32357.81
76,0.76,32778.04
77,0.77,33197.97
78,0.78,33617.61
79,0.79,34036.95
80,0.8,34456.0
81,0.81,34874.75
82,0.82,35293.21
83,0.83,35711.37
84,0.84,36129.24
85,0.85,36546.81
86,0.86,36964.09
87,0.87,37381.07
88,0.88,37797.76
89,0.89,38214.15
90,0.9,38630.25
91,0.91,39046.05
92,0.92,39461.56
93,0.93,39876.77
94,0.94,40291.69
95,0.95,40706.31
96,0.96,41120.64
97,0.97,41534.67
98,0.98,41948.41
99,0.99,42361.85
100,1.0,42775.0
101,1.01,43187.85
102,1.02,43600.41
103,1.03,44012.67
104,1.04,44424.64
105,1.05,44836.31
106,1.06,45247.69
107,1.07,45658.77
108,1.08,46069.56
109,1.09,46480.05
110,1.1,46890.25
111,1.11,47300.15
112,1.12,47709.76
113,1.13,48119.07
114,1.14,48528.09
115,1.15,48936.81
116,1.16,49345.24
117,1.17,49753.37
118,1.18,50161.21
119,1.19,50568.75
120,1.2,50976.0
121,1.21,51382.95
122,1.22,51789.61
123,1.23,52195.97
124,1.24,52602.04
125,1.25,53007.81
126,1.26,53413.29
127,1.27,53818.47
128,1.28,54223.36
129,1.29,54627.95
130,1.3,55032.25
131,1.31,55436.25
132,1.32,55839.96
133,1.33,56243.37
134,1.34,56646.49
135,1.35,57049.31
136,1.36,57451.84
137,1.37,57854.07
138,1.38,58256.01
139,1.39,58657.65
140,1.4,59059.0
141,1.41,59460.05
142,1.42,59860.81
143,1.43,60261.27
144,1.44,60661.44
145,1.45,61061.31
146,1.46,61460.89
147,1.47,61860.17
148,1.48,62259.16
149,1.49,62657.85
150,1.5,63056.25
151,1.51,63454.35
152,1.52,63852.16
153,1.53,64249.67
154,1.54,64646.89
155,1.55,65043.81
156,1.56,65440.44
157,1.57,65836.77
158,1.58,66232.81
159,1.59,66628.55
160,1.6,67024.0
161,1.61,67419.15
162,1.62,67814.01
163,1.63,68208.57
164,1.64,68602.84
165,1.65,68996.81
166,1.66,69390.49
167,1.67,69783.87
168,1.68,70176.96
169,1.69,70569.75
170,1.7,70962.25
171,1.71,71354.45
172,1.72,71746.36
173,1.73,72137.97
174,1.74,72529.29
175,1.75,72920.31
176,1.76,73311.04
177,1.77,73701.47
178,1.78,74091.61
179,1.79,74481.45
180,1.8,74871.0
181,1.81,75260.25
182,1.82,75649.21
183,1.83,76037.87
184,1.84,76426.24
185,1.85,76814.31
186,1.86,77202.09
187,1.87,77589.57
188,1.88,77976.76
189,1.89,78363.65
190,1.9,78750.25
191,1.91,79136.55
192,1.92,79522.56
193,1.93,79908.27
194,1.94,80293.69
195,1.95,80678.81
196,1.96,81063.64
197,1.97,81448.17
198,1.98,81832.41
199,1.99,82216.35
200,2.0,82600.0
201,2.01,82983.35
202,2.02,83366.41
203,2.03,83749.17
204,2.04,84131.64
205,2.05,84513.81
206,2.06,84895.69
207,2.07,85277.27
208,2.08,85658.56
209,2.09,86039.55
210,2.1,86420.25
211,2.11,86800.65
212,2.12,87180.76
213,2.13,87560.57
214,2.14,87940.09
215,2.15,88319.31
216,2.16,88698.24
217,2.17,89076.87
218,2.18,89455.21
219,2.19,89833.25
220,2.2,90211.0
221,2.21,90588.45
222,2.22,90965.61
223,2.23,91342.47
224,2.24,91719.04
225,2.25,92095.31
226,2.26,92471.29
227,2.27,92846.97
228,2.28,93222.36
229,2.29,93597.45
230,2.3,93972.25
231,2.31,94346.75
232,2.32,94720.96
233,2.33,95094.87
234,2.34,95468.49
235,2.35,95841.81
236,2.36,96214.84
237,2.37,96587.57
238,2.38,96960.01
239,2.39,97332.15
240,2.4,97704.0
241,2.41,98075.55
242,2.42,98446.81
243,2.43,98817.77
244,2.44,99188.44
245,2.45,99558.81
246,2.46,99928.89
247,2.47,100298.67
248,2.48,100668.16
249,2.49,101037.35
250,2.5,101406.25
251,2.51,101774.85
252,2.52,102143.16
253,2.53,102511.17
254,2.54,102878.89
255,2.55,103246.31
256,2.56,103613.44
257,2.57,103980.27
258,2.58,104346.81
259,2.59,104713.05
260,2.6,105079.0
261,2.61,105444.65
262,2.62,105810.01
263,2.63,106175.07
264,2.64,106539.84
265,2.65,106904.31
266,2.66,107268.49
267,2.67,107632.37
268,2.68,107995.96
269,2.69,108359.25
270,2.7,108722.25
271,2.71,109084.95
272,2.72,109447.36
273,2.73,109809.47
274,2.74,110171.29
275,2.75,110532.81
276,2.76,110894.04
277,2.77,111254.97
278,2.78,111615.61
279,2.79,111975.95
280,2.8,112336.0
281,2.81,112695.75
282,2.82,113055.21
283,2.83,113414.37
284,2.84,113773.24
285,2.85,114131.81
286,2.86,114490.09
287,2.87,114848.07
288,2.88,115205.76
289,2.89,115563.15
290,2.9,115920.25
291,2.91,116277.05
292,2.92,116633.56
293,2.93,116989.77
294,2.94,117345.69
295,2.95,117701.31
296,2.96,118056.64
297,2.97,118411.67
298,2.98,118766.41
299,2.99,119120.85
300,3.0,119475.0
301,3.01,119828.85
302,3.02,120182.41
303,3.03,120535.67
304,3.04,120888.64
305,3.05,121241.31
306,3.06,121593.69
307,3.07,121945.77
308,3.08,122297.56
309,3.09,122649.05
310,3.1,123000.25
311,3.11,123351.15
312,3.12,123701.76
313,3.13,124052.07
314,3.14,124402.09
315,3.15,124751.81
316,3.16,125101.24
317,3.17,125450.37
318,3.18,125799.21
319,3.19,126147.75
320,3.2,126496.0
321,3.21,126843.95
322,3.22,127191.61
323,3.23,127538.97
324,3.24,127886.04
325,3.25,128232.81
326,3.26,128579.29
327,3.27,128925.47
328,3.28,129271.36
329,3.29,129616.95
330,3.3,129962.25
331,3.31,130307.25
332,3.32,130651.96
333,3.33,130996.37
334,3.34,131340.49
335,3.35,131684.31
336,3.36,132027.84
337,3.37,132371.07
338,3.38,132714.01
339,3.39,133056.65
340,3.4,133399.0
341,3.41,133741.05
342,3.42,134082.81
343,3.43,134424.27
344,3.44,134765.44
345,3.45,135106.31
346,3.46,135446.89
347,3.47,135787.17
348,3.48,136127.16
349,3.49,136466.85
350,3.5,136806.25
351,3.51,137145.35
352,3.52,137484.16
353,3.53,137822.67
354,3.54,138160.89
355,3.55,138498.81
356,3.56,138836.44
357,3.57,139173.77
358,3.58,139510.81
359,3.59,139847.55
360,3.6,140184.0
361,3.61,140520.15
362,3.62,140856.01
363,3.63,141191.57
364,3.64,141526.84
365,3.65,141861.81
366,3.66,142196.49
367,3.67,142530.87
368,3.68,142864.96
369,3.69,143198.75
370,3.7,143532.25
371,3.71,143865.45
372,3.72,144198.36
373,3.73,144530.97
374,3.74,144863.29
375,3.75,145195.31
376,3.76,145527.04
377,3.77,145858.47
378,3.78,146189.61
379,3.79,146520.45
380,3.8,146851.0
381,3.81,147181.25
382,3.82,147511.21
383,3.83,147840.87
384,3.84,148170.24
385,3.85,148499.31
386,3.86,148828.09
387,3.87,149156.57
388,3.88,149484.76
389,3.89,149812.65
390,3.9,150140.25
391,3.91,150467.55
392,3.92,150794.56
393,3.93,151121.27
394,3.94,151447.69
395,3.95,151773.81
396,3.96,152099.64
397,3.97,152425.17
398,3.98,152750.41
399,3.99,153075.35
400,4.0,153400.0
401,4.01,153724.35
402,4.02,154048.41
403,4.03,154372.17
404,4.04,154695.64
405,4.05,155018.81
406,4.06,155341.69
407,4.07,155664.27
408,4.08,155986.56
409,4.09,156308.55
410,4.1,156630.25
411,4.11,156951.65
412,4.12,157272.76
413,4.13,157593.57
414,4.14,157914.09
415,4.15,158234.31
416,4.16,158554.24
417,4.17,158873.87
418,4.18,159193.21
419,4.19,159512.25
420,4.2,159831.0
421,4.21,160149.45
422,4.22,160467.61
423,4.23,160785.47
424,4.24,161103.04
425,4.25,161420.31
426,4.26,161737.29
427,4.27,162053.97
428,4.28,162370.36
429,4.29,162686.45
430,4.3,163002.25
431,4.31,163317.75
432,4.32,163632.96
433,4.33,163947.87
434,4.34,164262.49
435,4.35,164576.81
436,4.36,164890.84
437,4.37,165204.57
438,4.38,165518.01
439,4.39,165831.15
440,4.4,166144.0
441,4.41,166456.55
442,4.42,166768.81
443,4.43,167080.77
444,4.44,167392.44
445,4.45,167703.81
446,4.46,168014.89
447,4.47,168325.67
448,4.48,168636.16
449,4.49,168946.35
450,4.5,169256.25
451,4.51,169565.85
452,4.52,169875.16
453,4.53,170184.17
454,4.54,170492.89
455,4.55,170801.31
456,4.56,171109.44
457,4.57,171417.27
458,4.58,171724.81
459,4.59,172032.05
460,4.6,172339.0
461,4.61,172645.65
462,4.62,172952.01
463,4.63,173258.07
464,4.64,173563.84
465,4.65,173869.31
466,4.66,174174.49
467,4.67,174479.37
468,4.68,174783.96
469,4.69,175088.25
470,4.7,175392.25
471,4.71,175695.95
472,4.72,175999.36
473,4.73,176302.47
474,4.74,176605.29
475,4.75,176907.81
476,4.76,177210.04
477,4.77,177511.97
478,4.78,177813.61
479,4.79,178114.95
480,4.8,178416.0
481,4.81,178716.75
482,4.82,179017.21
483,4.83,179317.37
484,4.84,179617.24
485,4.85,179916.81
486,4.86,180216.09
487,4.87,180515.07
488,4.88,180813.76
489,4.89,181112.15
490,4.9,181410.25
491,4.91,181708.05
492,4.92,182005.56
493,4.93,182302.77
494,4.94,182599.69
495,4.95,182896.31
496,4.96,183192.64
497,4.97,183488.67
498,4.98,183784.41
499,4.99,184079.85
500,5.0,184375.0
501,5.01,184669.85
502,5.02,184964.41
503,5.03,185258.67
504,5.04,185552.64
505,5.05,185846.31
506,5.06,186139.69
507,5.07,186432.77
508,5.08,186725.56
509,5.09,187018.05
510,5.1,187310.25
511,5.11,187602.15
512,5.12,187893.76
513,5.13,188185.07
514,5.14,188476.09
515,5.15,188766.81
516,5.16,189057.24
517,5.17,189347.37
518,5.18,189637.21
519,5.19,189926.75
520,5.2,190216.0
521,5.21,190504.95
522,5.22,190793.61
523,5.23,191081.97
524,5.24,191370.04
525,5.25,191657.81
526,5.26,191945.29
527,5.27,192232.47
528,5.28,192519.36
529,5.29,192805.95
530,5.3,193092.25
531,5.31,193378.25
532,5.32,193663.96
533,5.33,193949.37
534,5.34,194234.49
535,5.35,194519.31
536,5.36,194803.84
537,5.37,195088.07
538,5.38,195372.01
539,5.39,195655.65
540,5.4,195939.0
541,5.41,196222.05
542,5.42,196504.81
543,5.43,196787.27
544,5.44,197069.44
545,5.45,197351.31
546,5.46,197632.89
547,5.47,197914.17
548,5.48,198195.16
549,5.49,198475.85
550,5.5,198756.25
551,5.51,199036.35
552,5.52,199316.16
553,5.53,199595.67
554,5.54,199874.89
555,5.55,200153.81
556,5.56,200432.44
557,5.57,200710.77
558,5.58,200988.81
559,5.59,201266.55
560,5.6,201544.0
561,5.61,201821.15
562,5.62,202098.01
563,5.63,202374.57
564,5.64,202650.84
565,5.65,202926.81
566,5.66,203202.49
567,5.67,203477.87
568,5.68,203752.96
569,5.69,204027.75
570,5.7,204302.25
571,5.71,204576.45
572,5.72,204850.36
573,5.73,205123.97
574,5.74,205397.29
575,5.75,205670.31
576,5.76,205943.04
577,5.77,206215.47
578,5.78,206487.61
579,5.79,206759.45
580,5.8,207031.0
581,5.81,207302.25
582,5.82,207573.21
583,5.83,207843.87
584,5.84,208114.24
585,5.85,208384.31
586,5.86,208654.09
587,5.87,208923.57
588,5.88,209192.76
589,5.89,209461.65
590,5.9,209730.25
591,5.91,209998.55
592,5.92,210266.56
593,5.93,210534.27
594,5.94,210801.69
595,5.95,211068.81
596,5.96,211335.64
